place, population, pct_under_18, pct_between_18_64, pct_over 64, male_female_ratio
Los Banos city;14519.0;31.9;55.4;12.7;92.9
Arroyo Grande city;14378.0;23.4;56.7;19.9;87.8
Baywood-Los Osos CDP;14377.0;23.4;59.4;17.2;92.5
Avocado Heights CDP;14232.0;30.7;62.2;7.1;101.4
North Fair Oaks CDP;13912.0;30.2;63.3;6.4;116.3
Carpinteria city;13747.0;23.8;63.7;12.5;101.0
Vincent CDP;13713.0;32.2;61.2;6.5;98.9
Yucca Valley CDP;13701.0;23.4;49.3;27.3;80.7
Bostonia CDP;13670.0;26.4;61.6;12.0;89.9
Hawaiian Gardens city;13639.0;35.5;59.5;5.0;108.6
Lemoore city;13622.0;32.9;60.6;6.5;94.5
Palos Verdes Estates city;13512.0;21.1;64.6;14.4;94.3
Windsor CDP;13371.0;27.2;60.1;12.7;96.4
Corcoran city;13364.0;23.2;71.9;4.8;286.0
Ramona CDP;13040.0;32.5;59.7;7.7;100.1
Mill Valley city;13038.0;17.5;68.2;14.3;81.2
Linda CDP;13033.0;38.5;53.1;8.3;92.5
Solana Beach city;12962.0;16.8;69.0;14.2;99.5
San Marino city;12959.0;25.5;59.0;15.5;89.2
Dinuba city;12743.0;33.4;54.7;11.9;100.9
East San Gabriel CDP;12736.0;21.2;64.9;13.9;92.0
Glen Avon CDP;12663.0;28.7;56.9;14.4;94.1
Bonita CDP;12542.0;25.7;64.3;10.0;95.3
Wasco city;12412.0;38.3;53.8;7.9;97.5
Red Bluff city;12363.0;28.4;55.2;16.3;84.8
Marysville city;12324.0;26.9;59.1;14.0;92.1
Alamo CDP;12277.0;25.2;65.8;9.0;97.7
Alondra Park CDP;12215.0;26.2;64.3;9.6;99.7
Commerce city;12135.0;33.0;57.3;9.7;97.3
Fillmore city;11992.0;33.0;55.5;11.5;105.1
Oakdale city;11961.0;27.9;57.6;14.6;87.2
Oroville city;11960.0;30.5;52.1;17.4;85.1
Cameron Park CDP;11897.0;27.1;62.4;10.5;93.4
Twentynine Palms city;11821.0;30.4;60.4;9.3;98.6
Clearlake city;11804.0;24.1;51.0;24.9;87.9
View Park-Windsor Hills CDP;11769.0;17.6;66.0;16.4;81.5
San Anselmo town;11743.0;19.4;67.8;12.9;86.2
Los Alamitos city;11676.0;23.7;65.9;10.4;90.9
Desert Hot Springs city;11668.0;29.2;56.2;14.5;91.3
Grover City city;11656.0;25.6;62.1;12.2;92.3
Lamont CDP;11517.0;36.9;55.8;7.4;104.0
Rancho Santa Margarita CDP;11390.0;26.1;71.9;2.0;101.2
La Quinta city;11215.0;29.9;60.5;9.6;99.2
Cherryland CDP;11088.0;24.2;63.5;12.3;92.9
Larkspur city;11070.0;13.0;66.4;20.7;78.9
La Riviera CDP;10986.0;22.9;71.2;5.9;98.2
Grand Terrace city;10946.0;27.8;62.9;9.3;93.4
Sierra Madre city;10762.0;19.1;65.8;15.1;89.9
McKinleyville CDP;10749.0;28.1;62.4;9.5;96.4
Hillsborough town;10667.0;22.2;61.0;16.8;90.6
Piedmont city;10602.0;26.9;58.5;14.6;86.7
Auburn city;10592.0;21.7;58.1;20.2;83.3
Wildomar CDP;10411.0;27.1;57.1;15.8;93.5
Dixon city;10401.0;31.4;60.6;8.1;97.8
North Auburn CDP;10301.0;22.9;56.1;21.0;90.0
Capitola city;10171.0;18.0;65.8;16.2;89.1
Rossmoor CDP;9893.0;20.6;62.0;17.4;91.3
El Sobrante CDP;9852.0;23.2;64.3;12.5;94.4
Laguna CDP;9828.0;30.0;66.1;3.9;94.6
Rancho Mirage city;9778.0;9.8;52.2;37.9;91.1
Avenal city;9770.0;21.2;74.1;4.7;146.0
Olivehurst CDP;9738.0;34.8;55.2;10.0;93.0
Alpine CDP;9695.0;25.2;62.9;12.0;98.4
Beaumont city;9685.0;30.3;55.1;14.6;88.9
Morro Bay city;9664.0;15.2;58.9;25.9;89.9
Quartz Hill CDP;9626.0;31.1;60.9;7.9;97.6
Tamalpais-Homestead Valley CDP;9601.0;17.8;74.1;8.2;93.0
Citrus CDP;9481.0;33.7;61.4;5.0;98.7
Rio Linda CDP;9481.0;30.5;61.3;8.1;96.8
Healdsburg city;9469.0;26.3;58.3;15.4;88.3
East La Mirada CDP;9367.0;24.5;65.6;9.9;94.7
Country Club CDP;9325.0;23.2;59.5;17.4;92.0
Arvin city;9286.0;36.9;55.6;7.5;106.1
Soquel CDP;9188.0;22.9;64.6;12.5;87.5
Aptos CDP;9061.0;19.4;67.1;13.5;93.7
Grass Valley city;9048.0;23.1;53.4;23.4;71.2
Fairview CDP;9045.0;24.3;66.2;9.6;95.7
Magalia CDP;8987.0;17.3;47.1;35.6;90.2
Rio del Mar CDP;8919.0;18.7;65.8;15.4;94.6
Galt city;8889.0;30.6;57.0;12.4;93.7
Half Moon Bay city;8886.0;24.2;66.5;9.3;102.4
Pedley CDP;8869.0;33.1;60.5;6.3;97.8
West Athens CDP;8859.0;31.6;63.1;5.3;93.5
Charter Oak CDP;8858.0;26.6;64.4;8.9;89.6
South Yuba City CDP;8816.0;28.9;61.2;9.9;96.6
Fortuna city;8788.0;25.2;55.7;19.1;85.5
Roseland CDP;8779.0;31.5;59.5;9.0;93.3
Valle Vista CDP;8751.0;16.4;40.8;42.8;82.9
Patterson city;8626.0;36.1;55.3;8.6;99.0
Scotts Valley city;8615.0;23.3;62.0;14.7;93.1
Crestline CDP;8594.0;29.5;62.1;8.4;97.5
Garden Acres CDP;8547.0;30.8;58.4;10.8;102.0
Riverbank city;8547.0;33.2;57.9;8.9;94.4
Adelanto city;8517.0;36.4;58.3;5.3;100.5
Oroville East CDP;8462.0;19.4;53.7;26.9;93.0
Blythe city;8428.0;33.6;56.7;9.7;97.0
Shafter city;8409.0;35.3;54.4;10.3;93.0
Signal Hill city;8371.0;21.6;68.8;9.7;104.1
Freedom CDP;8361.0;33.8;57.1;9.1;100.4
Placerville city;8355.0;23.4;56.7;19.9;83.1
Lindsay city;8338.0;34.3;53.5;12.1;95.4
Anderson city;8299.0;32.4;53.0;14.6;77.8
Corte Madera town;8272.0;17.9;68.6;13.6;88.0
Coalinga city;8212.0;32.1;56.8;11.0;92.9
Sonoma city;8121.0;18.1;51.4;30.5;72.8
Del Aire CDP;8040.0;24.0;64.4;11.7;100.0
Lake Los Angeles CDP;7977.0;40.5;56.7;2.8;101.6
East Compton CDP;7967.0;39.2;57.6;3.2;98.1
Canyon Lake CDP;7938.0;27.2;58.9;13.9;99.1
Parlier city;7938.0;39.7;55.3;5.0;113.4
Ben Lomond CDP;7884.0;27.8;65.3;6.9;102.6
Woodcrest CDP;7796.0;27.8;65.1;7.1;101.0
Rolling Hills Estates city;7789.0;21.7;65.4;12.9;93.2
Home Gardens CDP;7780.0;34.5;59.8;5.7;108.6
Mira Monte CDP;7744.0;24.6;59.5;15.9;96.0
American Canyon CDP;7706.0;26.1;60.7;13.3;93.6
South San Gabriel CDP;7700.0;27.2;62.1;10.6;97.0
Pismo Beach city;7669.0;14.7;61.4;23.8;94.8
King City city;7634.0;33.2;58.6;8.2;111.5
Ojai city;7613.0;23.9;56.2;19.9;81.4
Aliso Viejo CDP;7612.0;20.7;75.8;3.5;89.6
Rodeo CDP;7589.0;29.3;59.8;10.9;88.5
Brentwood city;7563.0;32.2;59.1;8.7;96.0
Winton CDP;7559.0;38.8;55.4;5.8;97.8
Muscoy CDP;7541.0;37.8;55.4;6.7;100.8
Tiburon town;7532.0;17.9;67.9;14.2;85.0
Los Altos Hills town;7514.0;21.1;65.6;13.3;99.9
Greenfield city;7464.0;38.6;55.9;5.6;105.4
South Oroville CDP;7463.0;33.6;52.6;13.8;87.2
Ripon city;7455.0;34.0;56.8;9.2;92.7
Westlake Village city;7455.0;21.1;65.8;13.1;91.2
Marina del Rey CDP;7431.0;4.3;87.0;8.7;117.3
Rosamond CDP;7430.0;30.7;62.1;7.3;107.4
Prunedale CDP;7393.0;28.8;63.3;7.9;97.8
Greenacres CDP;7379.0;31.6;61.1;7.3;99.3
Clayton city;7317.0;29.5;65.1;5.4;97.9
Livingston city;7317.0;38.8;56.4;4.8;107.2
Susanville city;7279.0;28.6;56.9;14.5;91.7
Exeter city;7276.0;30.8;53.6;15.6;86.2
Lincoln city;7248.0;31.7;57.9;10.3;91.7
Kingsburg city;7205.0;30.9;54.1;15.0;85.4
Atherton town;7163.0;19.6;61.9;18.5;94.5
Sausalito city;7152.0;8.7;80.6;10.7;98.2
Soledad city;7146.0;37.2;57.0;5.7;107.7
Nipomo CDP;7109.0;29.9;56.8;13.3;96.1
Los Serranos CDP;7099.0;31.7;61.7;6.6;101.9
McFarland city;7005.0;39.6;53.0;7.4;104.0
Sebastopol city;7004.0;25.5;57.3;17.2;76.2
Rancho San Diego CDP;6977.0;29.9;66.5;3.6;98.0
Yreka city;6948.0;26.3;54.9;18.9;80.7
Fairfax town;6931.0;19.6;70.8;9.6;90.4
San Diego Country Estates CDP;6874.0;33.0;58.2;8.8;98.5
Lathrop city;6841.0;34.7;58.9;6.4;102.0
Mendota city;6821.0;37.7;57.7;4.6;131.0
Larkfield-Wikiup CDP;6779.0;25.4;63.5;11.1;93.4
